created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)","field5(GSM RSSI)",field6(Light),"field7(RS485 Temperature ºC )","field8(RS485 Humidity)","field9(Presión atmosférica)","field10(tem 485 ºC )","field11(External Light)","field12(PT100 Temperature ºC )","field13(Wind Speed)","field14(Carbon Dioxide)","field15(RS485 Atmospheric Pressure)",status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-03-21T01:15:08-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T01:15:24-05:00,26.2577,51.9951,,,,61.5,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T01:15:27-05:00,,,,-43,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T01:15:28-05:00,,,,,,,,,101.9,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T02:15:08-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T02:15:24-05:00,25.6088,43.6103,,,,48.6,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T02:15:28-05:00,,,,,,,,,101.8,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T02:15:29-05:00,,,,-39,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T03:15:09-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T03:15:24-05:00,24.9706,44.7028,,,,48.45,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T03:15:28-05:00,,,,-54,,,,,101.7,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T04:15:09-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T04:15:25-05:00,24.773,52.6925,,,,56.7,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T04:15:29-05:00,,,,,,,,,101.7,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T04:15:30-05:00,,,,-45,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T05:15:10-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T05:15:25-05:00,24.7169,47.129,,,,55.2,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T05:15:30-05:00,,,,,,,,,101.8,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T05:15:34-05:00,,,,-46,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T06:15:11-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T06:15:25-05:00,24.7169,46.0121,,,,62.4,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T06:15:29-05:00,,,,,,,,,101.8,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T06:15:41-05:00,,,,,,,,,,,,,,,,,,,,,,VR032M0GS1A,507,,
2025-03-21T07:15:12-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T07:15:25-05:00,24.6342,48.6549,,,,63,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T07:15:28-05:00,,,,,,,,,,,,,,,,,,,,"88:66:39:5d:00:cf,-36;50:1d:94:a1:bb:2c,-42;c8:1f:be:be:a8:17,-45;c8:1f:be:af:85:9d,-45;88:66:39:4c:2e:8b,-53",,VR032M0GS1A,,,
2025-03-21T07:15:29-05:00,,,,,,,,,101.9,,,,,,,,,,,,,VR032M0GS1A,,,
