created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)","field5(GSM RSSI)",field6(Light),"field7(RS485 Temperature ºC )","field8(RS485 Humidity)","field9(Presión atmosférica)","field10(RS485 Soil Moisture)","field11(External Light)","field12(PT100 Temperature ºC )","field13(Wind Speed)","field14(Carbon Dioxide)","field15(RS485 Atmospheric Pressure)",status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-03-20T21:49:14-05:00,,,,,,,,,101.9,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T21:49:27-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-20T22:49:09-05:00,21.6781,47.5746,3.8887,,,333.3,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T22:49:14-05:00,,,,,,,,,101.9,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T22:49:27-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-20T23:49:09-05:00,21.7369,48.4535,3.8887,,,324.75,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T23:49:14-05:00,,,,,,,,,101.9,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T23:49:27-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-21T00:49:10-05:00,21.6648,47.7073,3.885,,,337.8,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T00:49:13-05:00,,,,,,,,,,,,,,,,,,,,"04:d4:c4:36:a9:c0,-53;40:b0:76:af:1c:68,-70;4c:ed:fb:7a:89:00,-75;98:35:ed:1e:e6:6d,-77;,0",,X8A835VGS1A,,,
2025-03-21T00:49:15-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T00:49:16-05:00,,,,-60,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T01:49:10-05:00,21.622,48.6595,3.885,,,327.75,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T01:49:13-05:00,,,,-55,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T01:49:15-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T02:49:10-05:00,21.355,48.5985,3.8887,,,48,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T02:49:15-05:00,,,,-70,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T03:49:09-05:00,21.0986,48.4291,3.885,,,51.75,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T03:49:14-05:00,,,,,,,,,101.6,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T03:49:15-05:00,,,,-68,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T04:49:10-05:00,20.9598,49.2164,3.8887,,,51.45,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T04:49:15-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T04:49:25-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,502,,
2025-03-21T04:49:27-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-21T05:49:10-05:00,20.8183,50.7012,3.885,,,312.3,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T05:49:14-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T05:49:27-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,502,,
2025-03-21T05:49:28-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-21T06:49:09-05:00,21.1734,49.8085,3.8887,,,348.9,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T06:49:12-05:00,,,,,,,,,,,,,,,,,,,,"04:d4:c4:36:a9:c0,-63;40:b0:76:af:1c:68,-69;58:9b:f9:58:cd:50,-69;d4:5d:64:ea:85:20,-70;40:01:c6:16:59:31,-80",,X8A835VGS1A,,,
2025-03-21T06:49:14-05:00,,,,-49,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T07:49:10-05:00,21.6648,50.5043,3.885,,,188.25,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T07:49:15-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T07:49:26-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
